"caso_id","intervencion_fecha_hora","victima_embarazo","victima_edad","victima_genero","victima_nacionalidad","victima_discapacidad","violencia_tipo","agresor_relacion_victima"
"416858","2019-07-01 09:30:00","NO","37","Masculino","Argentina","NO","Física y Sexual","Ex espos@/pareja"
"416896","2019-07-01 04:30:00","NO","24","Femenino","Boliviana","NO","Física","Ex espos@/pareja"
"214893","2019-07-01 15:00:00","NO","49","Femenino","Boliviana","SI","Física","Espos@/compañer@ actual"
"416845","2019-07-04 09:00:00","NO","88","Masculino","Argentina","NO","Psicológica","Espos@/compañer@ actual"
"417037","2019-07-04 14:00:00","NO","30","Femenino","Argentina","SI","Física","Ex espos@/pareja"
"417044","2019-07-05 10:40:00","NO","10","Masculino","Argentina","NO","Psicológica","Padre"
"417044","2019-07-05 10:40:00","NO","7","Masculino","Argentina","NO","Física","Padre"
"417044","2019-07-05 10:40:00","NO","34","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"417044","2019-07-05 10:40:00","NO","2","Femenino","Argentina","NS/NC","Física","Padre"
"417044","2019-07-05 10:40:00","SI","15","Femenino","Boliviana","NO","Física","Padre"
"417079","2019-07-06 15:00:00","NO","16","Femenino","Argentina","NO","Psicológica","Madre"
"417079","2019-07-06 15:00:00","NO","16","Femenino","Argentina","NO","Física","Madre"
"72269","2019-07-07 15:00:00","NO","13","Femenino","Argentina","NS/NC","Sexual","Otro no conviviente"
"417111","2019-07-08 13:00:00","NO","35","Masculino","Boliviana","NO","Económica y Física","Espos@/compañer@ actual"
"417105","2019-07-08 00:20:00","NO","8","Masculino","Argentina","NS/NC","Económica y Física","Padre"
"417105","2019-07-08 00:20:00","NO","30","Femenino","Argentina","NO","Económica y Física","Ex espos@/pareja"
"417112","2019-07-08 12:00:00","NO","2","Femenino","Argentina","NO","Psicológica","Padre"
"417122","2019-07-08 22:15:00","NO","24","Femenino","Argentina","NO","Económica y Física","Espos@/compañer@ actual"
"417111","2019-07-08 13:00:00","NO","3","Femenino","Boliviana","NO","Física","Padre"
"417122","2019-07-08 22:15:00","NO","0","Femenino","Argentina","NO","Física","Padre"
"417112","2019-07-08 12:00:00","NS/NC","44","Femenino","Argentina","NO","Física","Espos@/compañer@ actual"
"417044","2019-07-10 15:00:00","NO","7","Masculino","Argentina","NO","Física","Padre"
"417044","2019-07-10 15:00:00","NO","10","Masculino","Argentina","NS/NC","Psicológica","Padre"
"417063","2019-07-10 08:45:00","NO","0","Femenino","Argentina","NO","Psicológica","Padre"
"417044","2019-07-10 15:00:00","NO","15","Femenino","Boliviana","NO","Física","Padre"
"417063","2019-07-10 08:45:00","NS/NC","20","Femenino","Argentina","NO","Física","Ex espos@/pareja"
"417063","2019-07-10 08:45:00","NO","3","Femenino","Argentina","NO","Psicológica","Pareja de la madre/padre"
"417044","2019-07-10 15:00:00","NO","2","Femenino","Argentina","NS/NC","Psicológica","Padre"
"417044","2019-07-10 15:00:00","NO","34","Femenino","Boliviana","NO","Económica y Física","Espos@/compañer@ actual"
"417044","2019-07-11 09:00:00","NO","10","Masculino","Argentina","NO","Física","Padre"
"417044","2019-07-11 09:00:00","NO","7","Masculino","Argentina","NO","Física","Padre"
"417044","2019-07-11 09:00:00","NO","2","Femenino","Argentina","NS/NC","Física","Padre"
"417044","2019-07-11 00:00:00","NO","10","Masculino","Argentina","NS/NC","Psicológica","Padre"
"417044","2019-07-11 00:00:00","NS/NC","7","Masculino","Argentina","NS/NC","Física","Padre"
"417044","2019-07-11 09:00:00","NO","15","Femenino","Boliviana","NO","Física","Padre"
"417044","2019-07-11 00:00:00","NO","15","Femenino","Boliviana","NS/NC","Física","Padre"
"417044","2019-07-11 00:00:00","NO","2","Femenino","Argentina","NS/NC","Psicológica","Padre"
"417044","2019-07-11 09:00:00","NO","34","Femenino","Argentina","NS/NC","Física","Espos@/compañer@ actual"
"417044","2019-07-11 00:00:00","NO","34","Femenino","Boliviana","NS/NC","Económica y Física","Espos@/compañer@ actual"
"417214","2019-07-12 13:00:00","NO","16","Femenino","Argentina","NO","Física","Madre"
"417247","2019-07-13 16:50:00","NO","79","Femenino","Argentina","NS/NC","Física","Hij@"
"417247","2019-07-13 16:50:00","NS/NC","22","Femenino","Argentina","NS/NC","Psicológica","Padre"
"417274","2019-07-14 21:00:00","NO","0","Femenino","Argentina","NS/NC","Psicológica","Padre"
"417274","2019-07-14 21:00:00","NO","28","Femenino","Peruana","NO","Física","Espos@/compañer@ actual"
"417280","2019-07-14 18:00:00","NO","27","Femenino","Argentina","NO","Física","Ex espos@/pareja"
"417291","2019-07-15 03:00:00","NO","35","Femenino","Peruana","NS/NC","Física","Espos@/compañer@ actual"
"417345","2019-07-16 14:00:00","NO","10","Masculino","Argentina","NO","Física","Padre"
"417345","2019-07-16 14:00:00","NS/NC","31","Femenino","Argentina","SI","Física y Sexual","Ex espos@/pareja"
"417345","2019-07-16 14:00:00","NO","12","Femenino","Argentina","NO","Física","Padre"
"417328","2019-07-16 09:30:00","NO","69","Femenino","Argentina","SI","Psicológica","Espos@/compañer@ actual"
"417424","2019-07-18 16:30:00","NO","32","Femenino","Argentina","NO","Física","Ex espos@/pareja"
"417424","2019-07-18 16:30:00","NO","4","Femenino","Argentina","NO","Psicológica","Padre"
